code,id,label,statement,subject,domain,minimumAge,maximumAge,competencyType,evidenceExpectationCount,alignmentCount,reviewStatus,sourceId,sourceReferenceId,sourceUri
ASFAI-SCI-E0C624F3CB,https://education.asfai.org/objectives/b2d2953a-b966-5295-babc-72437d690e47,Earthquake Safety,"Demonstrate the “Earthquake Safety” objective: Know basic earthquake safety: drop, cover, and hold on; move away from windows; tell a trusted adult.",Science,Volcanoes & Earthquakes,5,7,PROCEDURAL,3,0,unreviewed,mt__pMF-Xb0TE,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__pMF-Xb0TE,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-HIS-E793BF4D57,https://education.asfai.org/objectives/467499b8-06de-54c7-8a86-b0f3cf43d0d2,Egyptian Art and Architecture,"Demonstrate the “Egyptian Art and Architecture” objective: Analyse Egyptian art and architecture: understand that Egyptian paintings followed strict conventions (people shown from the side with eyes from the front, size indicating importance), that tomb and temple design evolved from mastabas to step pyramids to smooth pyramids to rock-cut temples like Abu Simbel, and that obelisks, colossal statues, and temples like Karnak demonstrated the pharaoh's power and devotion to the gods.",History,Ancient Egypt,9,11,CONCEPTUAL,3,0,unreviewed,mt__qlBYNP62H,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__qlBYNP62H,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-1EF827AD1B,https://education.asfai.org/objectives/a695c1ae-3597-5144-80fb-0e943669df2e,Place Value Problem-Solving,Demonstrate the “Place Value Problem-Solving” objective: Solve number and practical problems involving place value with increasingly large positive numbers.,Mathematics,Number Representation & Place Value,8,9,META,3,1,unreviewed,mt__sMrmOv3bx,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__sMrmOv3bx,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-AB4EA8835E,https://education.asfai.org/objectives/cd462678-df3f-5e72-901e-3eb60eb9c8a2,Fluent adding and subtracting within 20,Demonstrate the “Fluent adding and subtracting within 20” objective: Fluently add and subtract within 20 using mental strategies; know from memory all sums of two one-digit numbers.,Mathematics,Addition & Subtraction,7,8,PROCEDURAL,3,1,unreviewed,mt__t4afSyZRm,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__t4afSyZRm,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-2D1E97E268,https://education.asfai.org/objectives/90711dda-44fb-5d6f-ad9e-e0ab5c2c36d2,Fluent adding and subtracting within 10,Demonstrate the “Fluent adding and subtracting within 10” objective: Fluently add and subtract within 10.,Mathematics,Addition & Subtraction,6,7,PROCEDURAL,3,1,unreviewed,mt__we2TDqnJx,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__we2TDqnJx,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-C1BF8D3B57,https://education.asfai.org/objectives/9496aade-1da5-5f1b-af12-deb78fc7c77b,"Hurricanes, Tornadoes & Monsoons","Demonstrate the “Hurricanes, Tornadoes & Monsoons” objective: Explain how hurricanes form and intensify over warm ocean water (latent heat release, low-pressure spiral); describe tornado formation within supercell thunderstorms; explain monsoon mechanics driven by temperature differences between land and sea; introduce attribution science — how scientists use climate models to calculate whether and by how much climate change increased the probability or intensity of a specific extreme weather event.",Science,Weather & Climate,12,13,CONCEPTUAL,0,0,unreviewed,mt__wWHVvqMWb,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__wWHVvqMWb,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-0C78D1FFEA,https://education.asfai.org/objectives/a97e6d76-c13a-5004-a946-fdd199abcf88,Two written numerals between 1 and 10,Demonstrate the “Two written numerals between 1 and 10” objective: Compare two written numerals between 1 and 10 to determine which is greater or less.,Mathematics,Counting & Cardinality,5,6,PROCEDURAL,2,1,unreviewed,mt__YRJ23GuIK,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__YRJ23GuIK,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-C92D9303A5,https://education.asfai.org/objectives/03c58de7-f32a-5d1c-8860-9408e1a96dae,Rainforest Layers,"Demonstrate the “Rainforest Layers” objective: Know that a rainforest has four layers from ground to sky — the forest floor (dark, damp, full of decomposing leaves), the understory (small trees and shrubs in the shade), the canopy (a thick roof of treetops where most animals live), and the emergent layer (the tallest trees poking above the canopy into bright sunlight).",Science,Rainforests,5,7,CONCEPTUAL,3,0,unreviewed,mt_-0cjwyYhce,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-0cjwyYhce,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-ELA-5C1FD6188D,https://education.asfai.org/objectives/53fc5073-6f5a-5691-9865-42c4e3639f8f,Comparing Structure in Information Texts,"Demonstrate the “Comparing Structure in Information Texts” objective: Compare and contrast the overall structure of events, ideas, concepts, or information in two or more informational texts, identifying patterns such as chronology, comparison, cause/effect, or problem/solution.",English,Reading Comprehension,10,11,CONCEPTUAL,3,1,unreviewed,mt_-1okUh0Jdv,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-1okUh0Jdv,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-10B86B6931,https://education.asfai.org/objectives/0a89e99e-77e4-56f6-93c1-a283283bb8b6,Drawing Ray Diagrams,Demonstrate the “Drawing Ray Diagrams” objective: Draw ray diagrams to show reflection at a plane mirror (angle of incidence = angle of reflection) and refraction at a boundary between media; use ray diagrams to locate images and explain how lenses and mirrors work.,Science,"Waves, Light & Sound",12,13,REPRESENTATIONAL,3,0,unreviewed,mt_-2VNlwAR5z,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-2VNlwAR5z,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-A61CCB29BF,https://education.asfai.org/objectives/3a85ed7f-75a5-50d9-b3bf-30db3b522a71,Plotting Linear Graphs,"Demonstrate the “Plotting Linear Graphs” objective: Plot linear graphs by generating a table of values, reduce a two-variable linear equation to the form y = mx + c, and calculate gradients from two points on a line.",Mathematics,Algebra,12,14,REPRESENTATIONAL,3,5,unreviewed,mt_-3udyo6VyB,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-3udyo6VyB,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-FC7454516A,https://education.asfai.org/objectives/0d971d70-a907-5cd8-b6e9-880a25993a76,Measuring Liquids & Masses,"Demonstrate the “Measuring Liquids & Masses” objective: Measure and estimate liquid volumes and masses of objects using grams, kilograms, and litres; solve one-step word problems involving mass or volume.",Mathematics,Measurement,8,9,PROCEDURAL,3,0,unreviewed,mt_-af65bxfdp,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-af65bxfdp,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-82491BD8F0,https://education.asfai.org/objectives/7f545736-e871-5ea4-ac6d-36441b56ce5f,Experimental vs Theoretical,"Demonstrate the “Experimental vs Theoretical” objective: Run repeated probability experiments and compare experimental (relative frequency) results with theoretical predictions; understand and demonstrate that as the number of trials increases, the experimental probability tends towards the theoretical probability — and that short runs can give very different results.",Mathematics,Probability,10,11,PROCEDURAL,3,0,unreviewed,mt_-bMnJcPJy8,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-bMnJcPJy8,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-771536FD8C,https://education.asfai.org/objectives/3a9e37f5-aba4-572a-a392-e73f8a7d4a92,Probability as a Fraction,"Demonstrate the “Probability as a Fraction” objective: Describe the probability of simple equally-likely outcomes using unit fractions: the probability of rolling a 6 on a fair die is 1/6, flipping heads is 1/2, picking one specific colour from three equally represented colours is 1/3; place these fractional probabilities on a 0-to-1 probability scale.",Mathematics,Probability,9,10,REPRESENTATIONAL,3,0,unreviewed,mt_-c4Ca_nBzX,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-c4Ca_nBzX,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-ELA-1DBD599C1C,https://education.asfai.org/objectives/c276325b-aeab-507d-926a-458a9b42c675,Paraphrasing What You Hear,"Demonstrate the “Paraphrasing What You Hear” objective: Paraphrase portions of a text read aloud or information presented in diverse media and formats, capturing the key ideas accurately in one's own words.",English,Speaking & Listening,9,10,PROCEDURAL,3,1,unreviewed,mt_-DuXzMVVXQ,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-DuXzMVVXQ,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-AFD86AA832,https://education.asfai.org/objectives/4662b7f2-d030-5494-abf7-6d89f8394e6b,Adding and subtracting (age 9+),"Demonstrate the “Adding and subtracting (age 9+)” objective: Solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why.",Mathematics,Addition & Subtraction,9,10,PROCEDURAL,3,0,unreviewed,mt_-F_Lv_apzH,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-F_Lv_apzH,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-CD6C0E2316,https://education.asfai.org/objectives/a26b9123-333c-56a0-bf99-84990b97b6d5,Finding patterns in data,"Demonstrate the “Finding patterns in data” objective: Analyse and interpret data from maps to describe patterns of Earth's features, recognising that many features result from processes that occur over long periods.",Science,Earth's Systems,9,10,CONCEPTUAL,3,1,unreviewed,mt_-G6erQvLig,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-G6erQvLig,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-AB26EF3BA3,https://education.asfai.org/objectives/1d147564-0819-593e-af91-8efb1caafebf,How the Eye Works,"Demonstrate the “How the Eye Works” objective: Describe how the eye works: light enters through the pupil, the lens focuses it onto the retina at the back of the eye, and the retina sends signals along the optic nerve to the brain, which interprets the image.",Science,The Human Body,7,9,CONCEPTUAL,3,0,unreviewed,mt_-gkJdxJUQT,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-gkJdxJUQT,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-DE9C45A408,https://education.asfai.org/objectives/2226f28e-cddd-5001-9cdf-a81a4c491f03,What Is a Half?,"Demonstrate the “What Is a Half?” objective: Recognise, find, and name a half as one of two equal parts of an object, shape, or quantity.",Mathematics,Fractions,5,6,CONCEPTUAL,3,1,unreviewed,mt_-hTTat0mBR,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-hTTat0mBR,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-EC0382747A,https://education.asfai.org/objectives/ac37eaec-ddee-5274-aa7c-4c94ee7db8b1,Plate Boundaries,"Demonstrate the “Plate Boundaries” objective: Explain how plate boundaries cause earthquakes and volcanoes: plates pushing together, pulling apart, or sliding past each other create the forces that trigger these events, and mountains form where plates collide.",Science,Volcanoes & Earthquakes,9,11,CONCEPTUAL,3,0,unreviewed,mt_-JnOhdei6F,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-JnOhdei6F,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-ELA-FBCD7009A7,https://education.asfai.org/objectives/8f1fd161-6d5c-58a5-be8f-669df8985c27,Punctuating Direct Speech,"Demonstrate the “Punctuating Direct Speech” objective: Punctuate direct speech using inverted commas (speech marks), understanding that direct speech records the exact words spoken and must be enclosed in punctuation marks.",English,Grammar & Punctuation,7,10,PROCEDURAL,3,5,unreviewed,mt_-mw3JeIjhU,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-mw3JeIjhU,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-55BB4CDBD0,https://education.asfai.org/objectives/39914f2b-0f96-55c0-8e1f-24f7261a7aaa,Relative Motion,Demonstrate the “Relative Motion” objective: Explain relative motion — how the apparent speed and direction of an object depends on the observer's own motion — using everyday examples such as trains and cars passing.,Science,Forces & Motion,11,12,CONCEPTUAL,3,1,unreviewed,mt_-OndzpVsrv,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-OndzpVsrv,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-E3735CF701,https://education.asfai.org/objectives/d1e60a5c-9793-5be8-bb2d-ddecd03da7d2,Friction & Surfaces,"Demonstrate the “Friction & Surfaces” objective: Compare how things move on different surfaces, noticing that some surfaces create more friction than others.",Science,Forces & Motion,7,8,CONCEPTUAL,3,1,unreviewed,mt_-p_xp4hMvh,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt_-p_xp4hMvh,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
